MAC,Unix_time_Stamp,Date,Temp,Temp_sym,Humidity,Humidity_sym,Pressure,Pressure_sym,IDs_1,ID_1,Weight_1,Wt_sym_1,IDs_2,ID_2,Weight_2,Wt_sym_2,IDs_3,ID_3,Weight_3,Wt_sym_3,IDs_4,ID_4,Weight_4,Wt_sym_4,IDs_5,ID_5,Weight_5,Wt_sym_5
7C:DF:A1:E0:91:AC,1674573949,2023-01-24T15:25:49Z,22.2,C,30.0,%,96.121,hPaLog event started.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1675675800,2023-02-06T09:10:00Z,18.8,C,25.9,%,98.905,hPaLog event stopped.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1675675800,2023-02-06T09:15:00Z,18.8,C,25.9,%,98.905,hPaLog event started.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1679082025,2023-03-17T19:40:25Z,20.9,C,27.0,%,97.688,hPaLog event started.,,,,,,,,,,,,,,,,,,,,
6C:DF:A1:E0:91:AC,1679995435,2023-03-28T09:13:56Z,19.4,C,27.1,%,98.777,hPaLog event stopped.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1679995436,2023-03-28T09:23:56Z,20.4,C,28.1,%,98.778,hPaLog event started.,,,,,,,,,,,,,,,,,,,,
6C:DF:A1:E0:91:AC,1680989399,2023-04-08T21:30:00Z,18.4,C,22.1,%,98.951,hPaLog event stopped.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1682280615,2023-04-23T20:10:15Z,20.7,C,31.6,%,99.95,hPaLog event started.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1683630882,2023-05-09T11:14:42Z,21.3,C,27.4,%,96.955,hPaLog event stopped.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1683630888,2023-05-09T11:14:48Z,21.3,C,27.6,%,96.953,hPa,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1683678081,2023-05-10T00:21:21Z,21.6,C,28.7,%,97.682,hPaLog event started.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1686340800,2023-06-09T19:45:00Z,22.1,C,35.6,%,98.176,hPaLog event stopped.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1686409929,2023-06-10T15:12:09Z,23.5,C,39.3,%,97.6,hPaLog event started.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1688986800,2023-07-10T11:05:00Z,25.9,C,43.0,%,99.518,hPaLog event stopped.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1704924166,2024-01-10T22:02:46Z,18.4,C,28.7,%,98.452,hPaLog event started.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1707848991,2024-02-13T18:29:51Z,18.4,C,24.5,%,97.427,hPaLog event stopped.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1707848998,2024-02-13T18:29:58Z,18.4,C,24.9,%,97.427,hPa,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1708544677,2024-02-21T19:44:37Z,18.0,C,23.4,%,100.393,hPaLog event started.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1709807955,2024-03-07T10:39:15Z,19.1,C,28.6,%,99.844,hPaLog event stopped.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1710785588,2024-03-18T18:13:08Z,20.1,C,32.5,%,96.618,hPaLog event started.,,,,,,,,,,,,,,,,,,,,
8C:DF:A1:E0:91:AC,1712145601,2024-04-03T12:05:00Z,21.1,C,27.9,%,99.103,hPaLog event stopped.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1713809712,2024-04-22T18:15:12Z,21.2,C,28.6,%,97.87,hPaLog event started.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1715797800,2024-05-15T18:15:00Z,21.2,C,31.4,%,98.75,hPaLog event stopped.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1716624450,2024-05-25T08:07:30Z,22.8,C,34.4,%,97.686,hPaLog event started.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1720027800,2024-07-03T17:15:00Z,24.5,C,43.4,%,99.591,hPaLog event stopped.,,,,,,,,,,,,,,,,,,,,
7C:DF:A1:E0:91:AC,1720697275,2024-07-11T11:27:55Z,26.2,C,49.5,%,98.907,hPaLog event started.,,,,,,,,,,,,,,,,,,,,
